Cemetery Proper Name,Cemetery Short Name,Lat,Lng,Country
Etretat Churchyard,Etretat,49.70773,0.21059,France
"Les Baraques Military Cemetery, Sangatte",Les Baraques,50.96004,1.82406,France
Oosttaverne Wood Cemetery,Oosttaverne,50.79401,2.90223,Belgium
Artillery Wood Cemetery,Artillery Wood,50.89966,2.87252,Belgium
New Zealand Book Of Remembrance,NZ Book of Remembrance,-41.29904129,174.777134,New Zealand
Forceville Communal Cemetery And Extension,Forceville,50.06273,2.55237,France
Imtarfa Military Cemetery,Imtarfa,35.89097,14.40955,Malta
Cement House Cemetery,Cement House,50.90497,2.90682,Belgium
"Ste. Marie Cemetery, Le Havre",Ste. Marie,49.50429,0.13028,France
Stoke-On-Trent (Hanley) Cemetery,Stoke-On-Trent Hanley,53.01408,-2.18509,United Kingdom
Esquelbecq Military Cemetery,Esquelbecq,50.88706,2.4161,France
Voormezeele Enclosures No.1 And No.2,Voormezeele 1 & 2,50.81774,2.874,Belgium
Abbeville Communal Cemetery,Abbeville,50.12091,1.83214,France
Motueka Cemetery,Motueka,-41.1279,173.02,New Zealand
Godewaersvelde British Cemetery,Godewaersvelde,50.79618,2.65226,France
Kingston Cemetery,Kingston,-29.0568,167.967,Norfolk Island
"Grove Town Cemetery, Meaulte",Grove Town,49.96439,2.68542,France
Mesnil Communal Cemetery Extension,Mesnil,50.04898,2.6421,France
Blackpool (Layton) Cemetery,Blackpool,53.83126,-3.03583,United Kingdom
Habarcq Communal Cemetery Extension,Habarcq,50.30746,2.61616,France
Stoke-On-Trent (Burslem) Cemetery,Stoke-On-Trent Burslem,53.0463,-2.17468,United Kingdom
Aghadowey (St. Guaires) Church Of Ireland Churchyard,Aghadowey,55.02878,-6.65737,United Kingdom
Plymouth (Ford Park) Cemetery,Plymouth Ford Park,50.3829,-4.14343,United Kingdom
Whakaki Maori Cemetery,Whakaki,-39.03607,177.58494,New Zealand
Glossop Cemetery,Glossop,53.45726,-1.95063,United Kingdom
Viesly Communal Cemetery,Viesly,50.15103,3.4712,France
Bedford House Cemetery,Bedford House,50.82706,2.88792,Belgium
"Ari Burnu Cemetery, Anzac",Ari Burnu,40.2392,26.27695,Turkey (including Gallipoli)
"Redoubt Cemetery, Helles",Redoubt,40.07807,26.21403,Turkey (including Gallipoli)
"Canterbury Cemetery, Anzac","Canterbury , Anzac",40.24447,26.28292,Turkey (including Gallipoli)
Sanctuary Wood Cemetery,Sanctuary Wood,50.83842,2.94405,Belgium
Alexandria (Hadra) War Memorial Cemetery,Alexandria Hadra,31.20378,29.92303,Egypt
Beauval Communal Cemetery,Beauval,50.11155,2.32927,France
London Rifle Brigade Cemetery,London Rifle,50.72107,2.88245,Belgium
Messines Ridge British Cemetery,Messines Ridge,50.76488,2.89076,Belgium
Nieuwkerke (Neuve-Eglise) Churchyard,Nieuwkerke,50.74619,2.82582,Belgium
"Buttes New British Cemetery, Polygon Wood",Buttes New British,50.85694,2.99084,Belgium
Divisional Collecting Post Cemetery And Extension,Divisional Collecting Post,50.87399,2.89406,Belgium
Belgrade Cemetery,Belgrade,50.47258,4.83375,Belgium
Railway Dugouts Burial Ground (Transport Farm),Railway Dugouts,50.8353,2.9035,Belgium
Tancrez Farm Cemetery,Tancrez Farm,50.70959,2.90192,Belgium
Westoutre British Cemetery,Westoutre,50.8001,2.74494,Belgium
"Pink Farm Cemetery, Helles",Pink Farm,40.07253,26.19096,Turkey (including Gallipoli)
"Beaulencourt British Cemetery, Ligny-Thilloy",Beaulencourt,50.07944,2.85377,France
Charleroi Communal Cemetery,Charleroi,50.42489,4.45503,Belgium
Bapaume Communal Cemetery,Bapaume Communa,50.11154,2.84688,France
Leuze Communal Cemetery,Leuze,50.59759,3.63158,Belgium
Liege (Robermont) Cemetery,Liege,50.63238,5.60563,Belgium
Tournai Communal Cemetery Allied Extension,Tournai,50.596,3.37577,Belgium
Barastre Communal Cemetery,Barastre,50.08096,2.93373,France
"Thistle Dump Cemetery, High Wood, Longueval",Thistle Dump,50.02944,2.78519,France
"Dantzig Alley British Cemetery, Mametz",Dantzig,49.99943,2.74371,France
Ovillers Military Cemetery,Ovillers,50.02844,2.69189,France
"Porte-De-Paris Cemetery, Cambrai",Porte-De-Paris,50.16871,3.22841,France
Locre Hospice Cemetery,Locre Hospice,50.77921,2.78066,Belgium
Grootebeek British Cemetery,Grootebeek,50.8259,2.78227,Belgium
"Tilloy British Cemetery, Tilloy-Les-Mofflaines",Tilloy,50.2727,2.81897,France
"Guards' Cemetery, Lesboeufs",Guards,50.0376,2.85324,France
Fricourt New Military Cemetery,Fricourt New,50.00124,2.70812,France
Fricourt British Cemetery,Fricourt,49.99524,2.7115,France
Woolwich Cemetery,Woolwich,51.47619,0.09855,United Kingdom
Hill 60 (New Zealand) Memorial,Hill 60 NZ Memorial,40.27273,26.2933,Turkey (including Gallipoli)
Meerut Cantonment Cemetery,Meerut Cantonment,50.73205,1.62412,India
Dalziel (Airbles) Cemetery,Dalziel,55.78171,-4.00587,United Kingdom
Glasgow Western Necropolis,Glasgow Western,55.89911,-4.28173,United Kingdom
Toberanierin Protestant Cemetery,Toberanierin,52.62907,-6.34599,"Ireland, Republic of"
Chunuk Bair (New Zealand) Memorial,Chunuk Bair NZ Memorial,40.25205,26.30849,Turkey (including Gallipoli)
Arras Memorial,Arras Memorial,50.28697,2.76065,France
Kantara Memorial,Kantara Memorial,30.87202,32.33175,Egypt
Glasgow (Craigton) Cemetery,Glasgow Craigton,55.85145,-4.34043,United Kingdom
Cathcart Cemetery,Cathcart,55.80898,-4.26495,United Kingdom
New Monkland Cemetery,New Monkland,55.88765,-3.99687,United Kingdom
Fordyce Old Churchyard,Fordyce,57.66206,-2.74638,United Kingdom
Glasgow (St. Kentigern's) Roman Catholic Cemetery,Glasgow St. Ketigerns,55.89901,-4.2764,United Kingdom
Kirkwall (St. Magnus) Cathedral Churchyard,Kirkwall,58.98108,-2.95953,United Kingdom
Oldshore Burial Ground,Oldshore,58.47757,-5.0838,United Kingdom
Conde-Sur-L'Escaut Communal Cemetery,Conde-Sur-L'Esc,50.45447,3.59018,France
Rumilly-En-Cambresis Communal Cemetery Extension,Rumilly-En-Cambresis,50.12673,3.22377,France
Serre Road Cemetery No.2,Serre Road 2,50.0967,2.6516,France
Mons (Bergen) Communal Cemetery,Mons,50.45955,3.97502,Belgium
La Louviere Town Cemetery,La Louviere,50.48185,4.20346,Belgium
Grevillers (New Zealand) Memorial,Grevillers NZ Memorial,50.10906,2.81965,France
Berlin South-Western Cemetery,Berlin South-West,52.38382,13.17561,Germany
Baghdad (North Gate) War Cemetery,Baghdad,33.35396,44.38571,Iraq
Tehran War Cemetery,Tehran,35.77637,51.43886,Iran
Hamburg Cemetery,Hamburg,53.61975,10.03544,Germany
"Niederzwehren Cemetery, Kassel",Niederzwehren,51.26399,9.46544,Germany
Grangegorman Military Cemetery,Grangegorman,53.3594,-6.30605,"Ireland, Republic of"
Dolla Old Graveyard,Dolla,52.79786,-8.19585,"Ireland, Republic of"
Newtownards (Movilla) Cemetery,Newtownards,54.59541,-5.67248,United Kingdom
Arneke British Cemetery,Arneke,50.8445,2.40184,France
Salonika (Lembet Road) Military Cemetery,Salonika,40.65392,22.93469,Greece
Jerusalem Memorial,Jerusalem Memorial,31.7989,35.2402,Israel and Palestine (including Gaza)
Havay Communal Cemetery,Havay,50.36434,3.98079,Belgium
Beirut War Cemetery,Beirut War,33.86977,35.50531,Lebanese Republic
Damascus Commonwealth War Cemetery,Damascus,33.49719,36.25236,Syria
Solesmes British Cemetery,Solesmes British,50.18179,3.48362,France
Zuydcoote Military Cemetery,Zuydcoote,51.06196,2.48549,France
"Belle Vue British Cemetery, Briastre",Belle Vue,50.16186,3.49635,France
Dunkirk Town Cemetery,Dunkirk,51.03063,2.38967,France
"Beach Cemetery, Anzac",Beach,40.23299,26.27639,Turkey (including Gallipoli)
Shrapnel Valley Cemetery,Shrapnel Valley,40.23394,26.27837,Turkey (including Gallipoli)
Awoingt British Cemetery,Awoingt,50.15921,3.28505,France
Bordeaux (Rue Judaique) Protestant Cemetery,Bordeaux,44.84068,-0.59436,France
Basra Memorial,Basra Memorial,30.4115,47.5458,Iraq
Twelve Tree Copse (New Zealand) Memorial,Twelve Tree Copse NZ Memorial,40.08809,26.21432,Turkey (including Gallipoli)
Tehran Memorial,Tehran Memorial,35.77666,51.43889,Iran
Forenville Military Cemetery,Forenville,50.13511,3.28076,France
Mikra Memorial,Mikra Memorial,40.57811,22.96414,Greece
Bancourt Communal Cemetery,Bancourt,50.10225,2.8977,France
"La Chapelette British And Indian Cemetery, Peronne",La Chapelette,49.90562,2.92993,France
Plymouth Naval Memorial,Plymouth Naval,50.36577991,-4.142274024,United Kingdom
